project,svg_index,svg_file,png_file
adaptive-yard-routing,1,adaptive-yard-routing__01__diagram-01.svg,adaptive-yard-routing__01__diagram-01.png
adaptive-yard-routing,2,adaptive-yard-routing__02__diagram-02.svg,adaptive-yard-routing__02__diagram-02.png
adaptive-yard-routing,3,adaptive-yard-routing__03__diagram-03.svg,adaptive-yard-routing__03__diagram-03.png
airline-passenger-forecasting,1,airline-passenger-forecasting__01__layered-seasonal-strip-showing-raw-passenger-series-monthly-seasonal-pat.svg,airline-passenger-forecasting__01__layered-seasonal-strip-showing-raw-passenger-series-monthly-seasonal-pat.png
airline-passenger-forecasting,2,airline-passenger-forecasting__02__rolling-origin-evaluation-timeline-for-airline-forecasting.svg,airline-passenger-forecasting__02__rolling-origin-evaluation-timeline-for-airline-forecasting.png
android-edge-vision-logistics,1,android-edge-vision-logistics__01__diagram-01.svg,android-edge-vision-logistics__01__diagram-01.png
android-edge-vision-logistics,2,android-edge-vision-logistics__02__diagram-02.svg,android-edge-vision-logistics__02__diagram-02.png
android-edge-vision-logistics,3,android-edge-vision-logistics__03__diagram-03.svg,android-edge-vision-logistics__03__diagram-03.png
brand-tuned-support-assistant,1,brand-tuned-support-assistant__01__diagram-01.svg,brand-tuned-support-assistant__01__diagram-01.png
brand-tuned-support-assistant,2,brand-tuned-support-assistant__02__diagram-02.svg,brand-tuned-support-assistant__02__diagram-02.png
brand-tuned-support-assistant,3,brand-tuned-support-assistant__03__diagram-03.svg,brand-tuned-support-assistant__03__diagram-03.png
carsharing-availability-eda,1,carsharing-availability-eda__01__diagram-01.svg,carsharing-availability-eda__01__diagram-01.png
carsharing-availability-eda,2,carsharing-availability-eda__02__diagram-02.svg,carsharing-availability-eda__02__diagram-02.png
carsharing-availability-eda,3,carsharing-availability-eda__03__diagram-03.svg,carsharing-availability-eda__03__diagram-03.png
co2-emissions-prediction,1,co2-emissions-prediction__01__emissions-web-showing-measured-variables-around-a-central-per-capita-co2.svg,co2-emissions-prediction__01__emissions-web-showing-measured-variables-around-a-central-per-capita-co2.png
data-driven-aid-allocation-model,1,data-driven-aid-allocation-model__01__diagram-01.svg,data-driven-aid-allocation-model__01__diagram-01.png
